tns_name,repeater,PCA_K-means,UMAP_HDBSCAN,T-SNE_HDBSCAN
FRB20190408A,non-repeater,-1,0.0,0.0
FRB20190409A,non-repeater,-1,-1.0,-1.0
FRB20190409B,non-repeater,1,1.0,1.0
FRB20190409C,non-repeater,-1,-1.0,-1.0
FRB20190409D,non-repeater,-1,-1.0,-1.0
FRB20190410A,non-repeater,1,1.0,1.0
FRB20190410B,non-repeater,-1,1.0,1.0
FRB20190411A,non-repeater,-1,0.0,0.0
FRB20190411B,non-repeater,-1,-1.0,-1.0
FRB20190411C,non-repeater,-1,1.0,1.0
FRB20190411C,non-repeater,-1,0.0,0.0
FRB20190412A,non-repeater,-1,0.0,0.0
FRB20190412B,non-repeater,1,1.0,1.0
FRB20190414A,non-repeater,-1,-1.0,-1.0
FRB20190414B,non-repeater,1,-1.0,-1.0
FRB20190415A,non-repeater,-1,-1.0,-1.0
FRB20190415B,non-repeater,1,-1.0,-1.0
FRB20190415C,non-repeater,-1,0.0,0.0
FRB20190416A,non-repeater,-1,-1.0,-1.0
FRB20190416B,non-repeater,-1,1.0,1.0
FRB20190417B,non-repeater,-1,-1.0,-1.0
FRB20190417A,repeater,-1,1.0,1.0
FRB20190417C,non-repeater,-1,1.0,1.0
FRB20190418A,non-repeater,1,1.0,1.0
FRB20190419A,non-repeater,1,1.0,1.0
FRB20190419B,non-repeater,1,0.0,0.0
FRB20190420B,non-repeater,-1,-1.0,-1.0
FRB20190420A,non-repeater,-1,0.0,0.0
FRB20190420C,non-repeater,-1,-1.0,-1.0
FRB20190421A,repeater,1,1.0,1.0
FRB20190421A,repeater,1,1.0,1.0
FRB20190421B,non-repeater,-1,-1.0,-1.0
FRB20190422B,non-repeater,-1,-1.0,-1.0
FRB20190422A,non-repeater,1,1.0,1.0
FRB20190422A,non-repeater,1,1.0,1.0
FRB20190422A,non-repeater,1,0.0,0.0
FRB20190423A,non-repeater,-1,0.0,0.0
FRB20190423A,non-repeater,1,1.0,1.0
FRB20190423B,non-repeater,1,1.0,1.0
FRB20190423B,non-repeater,1,1.0,1.0
FRB20190423C,non-repeater,-1,-1.0,-1.0
FRB20190423D,non-repeater,-1,0.0,0.0
FRB20190424A,non-repeater,-1,-1.0,-1.0
FRB20190425A,non-repeater,1,0.0,0.0
FRB20190425B,non-repeater,-1,0.0,0.0
FRB20190426A,non-repeater,-1,1.0,1.0
FRB20190427A,non-repeater,-1,-1.0,-1.0
FRB20190428A,non-repeater,-1,0.0,0.0
FRB20190429A,non-repeater,-1,0.0,0.0
FRB20190429B,non-repeater,1,1.0,1.0
FRB20190430B,non-repeater,-1,-1.0,-1.0
FRB20190430A,non-repeater,1,1.0,1.0
FRB20190430C,non-repeater,-1,1.0,1.0
FRB20190501B,non-repeater,-1,-1.0,-1.0
FRB20190501B,non-repeater,-1,-1.0,-1.0
FRB20190502A,non-repeater,-1,-1.0,-1.0
FRB20190502B,non-repeater,-1,-1.0,-1.0
FRB20190502C,non-repeater,-1,0.0,0.0
FRB20190515A,non-repeater,1,0.0,0.0
FRB20190515B,non-repeater,-1,-1.0,-1.0
FRB20190515C,repeater,1,0.0,1.0
FRB20190515D,non-repeater,-1,0.0,0.0
FRB20190516B,non-repeater,-1,-1.0,-1.0
FRB20190517D,non-repeater,-1,-1.0,-1.0
FRB20190517B,repeater,1,1.0,1.0
FRB20190517C,non-repeater,1,1.0,1.0
FRB20190518B,non-repeater,-1,-1.0,-1.0
FRB20190518C,non-repeater,-1,0.0,0.0
FRB20190518D,non-repeater,1,0.0,0.0
FRB20190518A,repeater,1,1.0,1.0
FRB20190518E,repeater,1,0.0,0.0
FRB20190518G,non-repeater,-1,1.0,1.0
FRB20190519D,non-repeater,-1,-1.0,-1.0
FRB20190519E,non-repeater,-1,0.0,0.0
FRB20190519F,non-repeater,-1,1.0,1.0
FRB20190519G,non-repeater,1,0.0,0.0
FRB20190519H,non-repeater,-1,-1.0,-1.0
FRB20190519A,repeater,1,1.0,1.0
FRB20190519A,repeater,1,1.0,1.0
FRB20190519B,repeater,1,1.0,1.0
FRB20190519B,repeater,1,1.0,1.0
FRB20190519B,repeater,1,1.0,1.0
FRB20190519B,repeater,1,1.0,1.0
FRB20190519C,repeater,1,1.0,1.0
FRB20190519J,non-repeater,-1,1.0,1.0
FRB20190520A,non-repeater,-1,1.0,1.0
FRB20190527A,non-repeater,1,1.0,1.0
FRB20190527A,non-repeater,1,1.0,1.0
FRB20190527B,repeater,1,0.0,0.0
FRB20190527C,non-repeater,-1,-1.0,-1.0
FRB20190529A,non-repeater,-1,1.0,1.0
